# E_min     E_max    phi_AN    error
3.49  3.99  11.8  18.0
3.99  4.49  -11.0  9.5
4.49  4.99  -8.0  5.7
4.99  5.49  -6.9  3.9
5.49  5.99  4.3  3.4
5.99  6.49  1.4  3.6
6.49  6.99  -0.8  3.7
6.99  7.49  1.2  3.5
7.49  7.99  -6.8  4.1
7.99  8.49  -5.9  4.2
8.49  8.99  -1.1  4.3
8.99  9.49  -0.7  5.1
9.49  9.99  -9.8  5.5
9.99  10.49  7.5  6.4
10.49  10.99  -13.4  6.8
10.99  11.49  1.0  7.9
11.49  11.99  4.5  9.0
11.99  12.49  -10.8  11.1
12.49  12.99  -25.2  14.1
12.99  13.49  -7.7  17.1
13.49  14.49  0.7  15.8
14.49  15.49  3.3  28.0
15.49  19.49  -27.6  62.9
