# E_min     E_max       R_all    e_all+     e_all-      R_day     e_day+       e_day-     R_night      e_night+       e_night-     B    hep
3.49     3.99     94.10     8.40     8.30     100.20     13.30     13.00     89.00     10.80     10.60     197.20     0.347
3.99     4.49     82.60     3.90     3.90     77.50     6.00     5.80     86.70     5.30     5.10     183.10     0.336
4.49     4.99     80.50     2.40     2.40     76.90     3.60     3.50     83.40     3.30     3.20     168.60     0.324
4.99     5.49     69.70     1.50     1.40     67.20     2.10     2.10     72.00     2.00     2.00     154.00     0.313
5.49     5.99     61.40     1.10     1.10     62.70     1.60     1.60     60.10     1.60     1.50     138.50     0.299
5.99     6.49     54.40     1.00     1.00     54.80     1.50     1.40     54.10     1.40     1.40     122.70     0.283
6.49     6.99     48.30     0.90     0.90     48.00     1.30     1.30     48.50     1.30     1.30     107.50     0.267
6.99     7.49     41.10     0.80     0.80     41.40     1.20     1.20     40.90     1.10     1.10     92.70     0.250
7.49     7.99     35.30     0.70     0.70     34.00     1.10     1.00     36.50     1.00     1.00     78.70     0.233
7.99     8.49     28.70     0.60     0.60     27.80     0.90     0.90     29.50     0.90     0.90     65.60     0.215
8.49     8.99     23.20     0.60     0.50     23.00     0.80     0.80     23.30     0.80     0.70     53.90     0.197
8.99     9.49     18.40     0.50     0.50     18.30     0.70     0.70     18.50     0.70     0.60     43.20     0.180
9.49     9.99     14.30     0.40     0.40     13.60     0.60     0.60     15.00     0.60     0.60     34.00     0.162
9.99     10.49     11.30     0.40     0.30     11.70     0.50     0.50     10.90     0.50     0.50     26.20     0.145
10.49     10.99     8.60     0.30     0.29     7.99     0.43     0.41     9.16     0.43     0.41     19.75     0.128
10.99     11.49     6.17     0.25     0.24     6.20     0.36     0.34     6.14     0.35     0.33     14.44     0.112
11.49     11.99     4.76     0.21     0.20     4.87     0.31     0.29     4.66     0.30     0.28     10.35     0.097
11.99     12.49     3.13     0.17     0.16     2.96     0.25     0.23     3.30     0.25     0.23     7.16     0.083
12.49     12.99     2.07     0.14     0.13     1.81     0.20     0.18     2.33     0.21     0.19     4.84     0.071
12.99     13.49     1.39     0.12     0.11     1.34     0.17     0.15     1.45     0.17     0.15     3.15     0.059
13.49     14.49     1.54     0.12     0.11     1.55     0.18     0.16     1.54     0.17     0.15     3.22     0.088
14.49     15.49     0.57     0.08     0.07     0.59     0.12     0.10     0.57     0.11     0.09     1.13     0.056
15.49     19.49     0.18     0.05     0.04     0.16     0.08     0.06     0.21     0.08     0.06     0.46     0.064
