# num_bin  t_k  T_k^day  T_k^night
0   21.6   11.4   9.0
0   22.5   11.4   12.6
0   23.2   4.3   6.3
1   25.5   11.3   12.3
1   26.5   11.2   12.8
1   27.5   11.2   12.8
1   28.5   11.2   12.8
1   29.0   0.0   1.2
2   37.8   2.7   6.6
2   38.5   10.8   13.2
2   39.5   10.8   13.2
2   40.2   2.5   6.6
3   40.7   7.8   6.6
3   41.5   10.7   13.3
3   42.5   10.7   13.3
3   43.5   10.6   13.4
3   44.5   10.6   13.4
3   45.5   10.6   13.3
4   46.7   8.5   6.7
4   47.5   10.5   13.5
4   48.5   10.5   13.5
4   49.5   10.4   13.6
4   50.0   0.0   0.9
5   51.6   10.4   10.8
5   52.5   10.3   13.7
5   53.5   10.3   13.7
5   54.5   10.3   13.7
5   55.3   9.1   6.9
6   56.7   6.0   6.9
6   57.5   10.2   13.8
6   58.5   10.2   13.8
6   59.5   10.1   13.9
6   60.5   10.1   13.9
6   61.1   0.1   7.0
7   61.7   6.1   7.0
7   62.5   10.1   13.9
7   63.5   10.0   14.0
7   64.5   10.0   14.0
7   65.5   10.0   14.0
7   66.1   0.1   7.0
8   66.7   9.6   7.0
8   67.5   9.9   14.1
8   68.5   9.9   14.1
8   69.5   9.9   14.1
8   70.5   9.9   14.1
8   71.0   0.0   1.6
9   71.5   9.8   12.4
9   72.5   9.8   14.2
9   73.5   9.8   14.2
9   74.5   9.8   14.2
9   75.5   9.8   14.2
9   76.0   0.0   1.7
10   77.5   9.7   12.1
10   78.5   9.7   14.3
10   79.5   9.7   14.3
10   80.5   9.7   14.3
10   81.0   0.0   1.0
11   81.6   9.7   11.8
11   82.5   9.7   14.3
11   83.5   9.6   14.4
11   84.5   9.6   14.4
11   85.5   9.6   14.4
11   86.2   2.2   7.2
12   87.6   9.6   11.1
12   88.5   9.6   14.4
12   89.5   9.6   14.4
12   90.5   9.6   14.4
12   91.0   0.0   1.4
13   91.5   9.6   12.6
13   92.5   9.6   14.4
13   93.5   9.6   14.4
