# num_bin  t_k  T_k^day  T_k^night
0   21.0   11.4   9.0
0   22.0   11.4   12.6
0   23.0   4.3   6.3
1   25.0   11.3   12.3
1   26.0   11.2   12.8
1   27.0   11.2   12.8
1   28.0   11.2   12.8
1   29.0   0.0   1.2
2   37.0   2.7   6.6
2   38.0   10.8   13.2
2   39.0   10.8   13.2
2   40.0   2.5   6.6
3   40.0   7.8   6.6
3   41.0   10.7   13.3
3   42.0   10.7   13.3
3   43.0   10.6   13.4
3   44.0   10.6   13.4
3   45.0   10.6   13.3
4   46.0   8.5   6.7
4   47.0   10.5   13.5
4   48.0   10.5   13.5
4   49.0   10.4   13.6
4   50.0   0.0   0.9
5   51.0   10.4   10.8
5   52.0   10.3   13.7
5   53.0   10.3   13.7
5   54.0   10.3   13.7
5   55.0   9.1   6.9
6   56.0   6.0   6.9
6   57.0   10.2   13.8
6   58.0   10.2   13.8
6   59.0   10.1   13.9
6   60.0   10.1   13.9
6   61.0   0.1   7.0
7   61.0   6.1   7.0
7   62.0   10.1   13.9
7   63.0   10.0   14.0
7   64.0   10.0   14.0
7   65.0   10.0   14.0
7   66.0   0.1   7.0
8   66.0   9.6   7.0
8   67.0   9.9   14.1
8   68.0   9.9   14.1
8   69.0   9.9   14.1
8   70.0   9.9   14.1
8   71.0   0.0   1.6
9   71.0   9.8   12.4
9   72.0   9.8   14.2
9   73.0   9.8   14.2
9   74.0   9.8   14.2
9   75.0   9.8   14.2
9   76.0   0.0   1.7
10   77.0   9.7   12.1
10   78.0   9.7   14.3
10   79.0   9.7   14.3
10   80.0   9.7   14.3
10   81.0   0.0   1.0
11   81.0   9.7   11.8
11   82.0   9.7   14.3
11   83.0   9.6   14.4
11   84.0   9.6   14.4
11   85.0   9.6   14.4
11   86.0   2.2   7.2
12   87.0   9.6   11.1
12   88.0   9.6   14.4
12   89.0   9.6   14.4
12   90.0   9.6   14.4
12   91.0   0.0   1.4
13   91.0   9.6   12.6
13   92.0   9.6   14.4
13   93.0   9.6   14.4
13   94.0   9.6   14.4
13   95.0   0.0   0.2
14   96.0   9.6   10.5
14   97.0   9.6   14.4
14   98.0   9.6   14.4
14   99.0   9.6   14.4
14   100.0   9.6   14.4
14   101.0   0.0   1.4
15   102.0   5.9   7.2
15   103.0   9.6   14.4
15   104.0   9.6   14.4
15   105.0   9.6   14.4
15   106.0   9.6   14.4
15   107.0   4.8   7.2
16   107.0   4.5   7.2
16   108.0   9.6   14.4
